id,name,register_date,followed_by,followers_count
1614741985784664064,Chang 🧪,Sun Jan 15 21:51:11 +0000 2023,"serg_xyz, 0xWenMoon, 0xminion, 0xRainandCoffee, andyisnotandy, lmrankhan, j0hnwang, krybharat, CryptoSources, lapgandhi, 0xMaki, 0xdetweiler, samoyedali, 0xChanglu, alexgedevani, mattyryze, zacxbt, AustinBarack, TaikiMaeda2, kapursanat, 0xbilly",21
1194682917760503810,serg,Wed Nov 13 18:26:33 +0000 2019,"0xRaghav, grisacerne, NTmoney, ishanee_, janehk, rishisthinking, bridge__harris, robbiepetersen_, amanda0x, firstc0in, j0hnwang, ncerovac, sjdedic, jonathankingvc, lapgandhi, yekiM_o, n4motto, mattyryze, GrantStenger",19
1752421556494438401,Allora,Tue Jan 30 20:00:44 +0000 2024,"0xRaghav, 0xminion, kidponga, janehk, 0xRainandCoffee, sandraaleow, andyisnotandy, Shaughnessy119, geenty, j0hnwang, lapgandhi, Sh_ivam, 0xdetweiler, yekiM_o, alexgedevani, mattyryze, zacxbt, AustinBarack, roybitsir",19
356651832,Ben Pasternak,Wed Aug 17 04:56:43 +0000 2011,"QwQiao, 0xminion, janehk, sandraaleow, pet3rpan_, panekkkk, Shaughnessy119, amanda0x, lmrankhan, j0hnwang, jonathankingvc, lapgandhi, HoolieG, alexgedevani, jnwng, MariaShen, mattyryze, zacxbt, roybitsir, GrantStenger, kapursanat",21
4784180306,Brandon,Tue Jan 19 15:02:18 +0000 2016,"QwQiao, KyleSamani, stutireal, 0xminion, janehk, reganbozman, masonnystrom, pet3rpan_, robbiepetersen_, Shaughnessy119, j0hnwang, jonathankingvc, lapgandhi, Sh_ivam, 0xMaki, HoolieG, sjrosenblum, alexgedevani, MariaShen",19
4031011564,tumilet,Sat Oct 24 10:39:49 +0000 2015,"Darrenlautf, 0xminion, kidponga, Daryllautk, sandraaleow, YeouJie, andyisnotandy, OuroborosCap8, Shaughnessy119, CryptoSources, lapgandhi, 0xMaki, samoyedali, Solofunk30, alexgedevani, AustinBarack, TaikiMaeda2, delitzer, kapursanat",19
1815779284902084609,Bridge,Tue Jul 23 16:01:44 +0000 2024,"0xminion, kidponga, rishisthinking, wkhosrowshahi1, bridge__harris, AliceL991, robbiepetersen_, j0hnwang, jonathankingvc, lapgandhi, Sh_ivam, 0xMaki, sjrosenblum, 0xdetweiler, yekiM_o, ceterispar1bus, samoyedali, Solofunk30, jnwng",19
1385312402795859968,Bubblemaps,Thu Apr 22 19:20:27 +0000 2021,"wkhosrowshahi1, YeouJie, Shaughnessy119, geenty, lmrankhan, j0hnwang, ncerovac, jennyqcheng, Sh_ivam, 0xMaki, 0xdetweiler, samoyedali, Solofunk30, alexgedevani, pokeapallascat, MariaShen, mattyryze, zacxbt, GrantStenger",19
