id,name,register_date,followed_by,followers_count,link
278988015,Alvin Hsia,Fri Apr 08 11:04:40 +0000 2011,"serg_xyz, KyleSamani, 0xminion, janehk, andyisnotandy, benlakoff, notnotstorm, j0hnwang, 0xMaki, HoolieG, RyanKSterling, sjrosenblum, yekiM_o, 0xChanglu, n4motto, caitlinxyz, gakonst, zacxbt, kapursanat",19,https://x.com/i/user/278988015
1855822374345789440,dev.fun,Mon Nov 11 04:08:40 +0000 2024,"serg_xyz, 0xminion, Shaughnessy119, firstc0in, j0hnwang, jonathankingvc, jennyqcheng, lapgandhi, Sh_ivam, 0xMaki, 0xdetweiler, yekiM_o, samoyedali, alexgedevani, MariaShen, zacxbt, AustinBarack, roybitsir, gregohr12",19,https://x.com/i/user/1855822374345789440
1863957527529955328,Unit,Tue Dec 03 14:45:07 +0000 2024,"serg_xyz, 0xRaghav, Darrenlautf, 0xWenMoon, 0xminion, kidponga, rishisthinking, 0xRainandCoffee, sandraaleow, bridge__harris, j0hnwang, krybharat, jonathankingvc, lapgandhi, 0xMaki, yekiM_o, Solofunk30, zacxbt, roybitsir",19,https://x.com/i/user/1863957527529955328
4889875948,charker 📱📱📱,Mon Feb 08 21:11:24 +0000 2016,"serg_xyz, KyleSamani, Darrenlautf, kidponga, sandraaleow, j0hnwang, jonathankingvc, lapgandhi, 0xMaki, n4motto, caitlinxyz, alexgedevani, NaytheForceBwU, jnwng, thetinaverse, mattyryze, AustinBarack, roybitsir, GrantStenger",19,https://x.com/i/user/4889875948
18377825,Diogo Mónica,Thu Dec 25 18:52:31 +0000 2008,"serg_xyz, 0xRaghav, QwQiao, KyleSamani, janehk, rishisthinking, pet3rpan_, SimaoCCruz, panekkkk, j0hnwang, jonathankingvc, lapgandhi, 0xMaki, HoolieG, sjrosenblum, AustinBarack, delitzer, tomhschmidt, kapursanat",19,https://x.com/i/user/18377825
1503873189105053697,Empire 🟪,Tue Mar 15 23:18:22 +0000 2022,"0xRaghav, Darrenlautf, andyisnotandy, BigBrainKasey, caseykcaruso, OuroborosCap8, Shaughnessy119, amanda0x, lmrankhan, j0hnwang, sjdedic, jonathankingvc, Sh_ivam, 0xMaki, ceterispar1bus, Solofunk30, NaytheForceBwU, zacxbt, AustinBarack",19,https://x.com/i/user/1503873189105053697
887748030304329728,The Crypto Dog 📈,Wed Jul 19 18:56:38 +0000 2017,"0xRaghav, QwQiao, OmniscientAsian, Darrenlautf, 0xWenMoon, ishanee_, sandraaleow, wkhosrowshahi1, YeouJie, masonnystrom, andyisnotandy, benlakoff, OuroborosCap8, panekkkk, AliceL991, Shaughnessy119, lmrankhan, notnotstorm, j0hnwang, krybharat, CryptoSources, sjdedic, 0xMaki, sjrosenblum, 0xdetweiler, ceterispar1bus, samoyedali, 0xChanglu, alexgedevani, zacxbt, AustinBarack, roybitsir, TaikiMaeda2, tomhschmidt, kapursanat, 0xbilly",36,https://x.com/i/user/887748030304329728
1184496773970173952,Sergey Gorbunov,Wed Oct 16 15:50:28 +0000 2019,"0xRaghav, KyleSamani, grisacerne, stutireal, janehk, Louissongyz, eclecticcapital, panekkkk, lmrankhan, j0hnwang, _weidai, 0xMaki, samoyedali, gakonst, NaytheForceBwU, MariaShen, tomhschmidt, kapursanat, 0xbilly",19,https://x.com/i/user/1184496773970173952
1354867416430501890,mikado,Thu Jan 28 19:03:05 +0000 2021,"QwQiao, KyleSamani, masonnystrom, pet3rpan_, eclecticcapital, panekkkk, lmrankhan, j0hnwang, krybharat, sjdedic, 0xdetweiler, samoyedali, 0xChanglu, alexgedevani, zacxbt, roybitsir, gregohr12, tomhschmidt, kapursanat",19,https://x.com/i/user/1354867416430501890
717926102614716417,Caitlin Long 🔑⚡️🟠,Thu Apr 07 04:04:56 +0000 2016,"QwQiao, luffistotle, OmniscientAsian, reganbozman, sandraaleow, benlakoff, eclecticcapital, OuroborosCap8, panekkkk, Shaughnessy119, geenty, lmrankhan, j0hnwang, jonathankingvc, Solofunk30, alexgedevani, AustinBarack, roybitsir, 0xbilly",19,https://x.com/i/user/717926102614716417
