id,name,register_date,followed_by,followers_count,link
837884551984730113,David Ticzon | Sui💧Chief Degen,Sat Mar 04 04:36:59 +0000 2017,"serg_xyz, QwQiao, KyleSamani, stutireal, Darrenlautf, 0xminion, janehk, reganbozman, wkhosrowshahi1, BigBrainKasey, caseykcaruso, bridge__harris, Sh_ivam, 0xMaki, mattyryze, zacxbt, AustinBarack, GrantStenger, kapursanat",19,https://x.com/i/user/837884551984730113
1790071733539512322,Mega Mafia,Mon May 13 17:29:07 +0000 2024,"serg_xyz, 0xminion, Daryllautk, sandraaleow, amanda0x, krybharat, lapgandhi, Sh_ivam, 0xMaki, yekiM_o, 0xChanglu, Solofunk30, alexgedevani, mattyryze, zacxbt, AustinBarack, tomhschmidt, kapursanat, 0xbilly",19,https://x.com/i/user/1790071733539512322
1891647168441876484,Mosi,Tue Feb 18 00:33:34 +0000 2025,"serg_xyz, 0xRaghav, luffistotle, OmniscientAsian, 0xWenMoon, reganbozman, andyisnotandy, Mikey0x_, pet3rpan_, BigBrainKasey, bridge__harris, geenty, _weidai, CryptoSources, jennyqcheng, lapgandhi, 0xMaki, 0xChanglu, alexgedevani, MariaShen, mattyryze, GrantStenger, tomhschmidt",23,https://x.com/i/user/1891647168441876484
2423897114,Jiani Chen,Wed Apr 02 14:29:37 +0000 2014,"serg_xyz, KyleSamani, stutireal, ishanee_, rishisthinking, 0xRainandCoffee, andyisnotandy, benlakoff, pet3rpan_, bridge__harris, Louissongyz, Shaughnessy119, firstc0in, jonathankingvc, 0xMaki, alexgedevani, jnwng, mattyryze, kapursanat",19,https://x.com/i/user/2423897114
1858490817620443136,Freysa,Mon Nov 18 12:42:03 +0000 2024,"serg_xyz, 0xRaghav, 0xminion, reganbozman, caseykcaruso, AliceL991, Shaughnessy119, amanda0x, krybharat, lapgandhi, Sh_ivam, 0xChanglu, Solofunk30, alexgedevani, MariaShen, mattyryze, zacxbt, AustinBarack, kapursanat",19,https://x.com/i/user/1858490817620443136
259780392,TheBabylonians,Wed Mar 02 15:48:04 +0000 2011,"serg_xyz, 0xRaghav, 0xWenMoon, kidponga, Daryllautk, sandraaleow, YeouJie, andyisnotandy, robbiepetersen_, j0hnwang, sjdedic, jennyqcheng, 0xMaki, samoyedali, mattyryze, zacxbt, AustinBarack, roybitsir, TaikiMaeda2",19,https://x.com/i/user/259780392
317208663,Hootie Rashidifard,Tue Jun 14 16:00:10 +0000 2011,"serg_xyz, KyleSamani, janehk, rishisthinking, reganbozman, wkhosrowshahi1, masonnystrom, benlakoff, caseykcaruso, SimaoCCruz, bridge__harris, jonathankingvc, lapgandhi, Sh_ivam, samoyedali, alexgedevani, mattyryze, roybitsir, delitzer",19,https://x.com/i/user/317208663
956303925438746629,Noah,Wed Jan 24 23:13:17 +0000 2018,"serg_xyz, luffistotle, OmniscientAsian, 0xWenMoon, 0xminion, kidponga, rishisthinking, wkhosrowshahi1, YeouJie, Mikey0x_, robbiepetersen_, amanda0x, lapgandhi, Sh_ivam, ceterispar1bus, caitlinxyz, alexgedevani, mattyryze, AustinBarack, TaikiMaeda2, delitzer",21,https://x.com/i/user/956303925438746629
1285527355163721730,ish,Tue Jul 21 10:49:58 +0000 2020,"serg_xyz, grisacerne, OmniscientAsian, stutireal, 0xminion, kidponga, YeouJie, masonnystrom, andyisnotandy, Louissongyz, eclecticcapital, lmrankhan, jennyqcheng, Sh_ivam, 0xMaki, 0xChanglu, mattyryze, delitzer, kapursanat",19,https://x.com/i/user/1285527355163721730
372650546,sacha 🦣,Tue Sep 13 04:51:11 +0000 2011,"serg_xyz, 0xRaghav, KyleSamani, kidponga, 0xRainandCoffee, eclecticcapital, Shaughnessy119, ncerovac, cooper_kunz, lapgandhi, 0xMaki, yekiM_o, ceterispar1bus, samoyedali, n4motto, thetinaverse, MariaShen, mattyryze, roybitsir",19,https://x.com/i/user/372650546
14161568,Sonal Chokshi,Mon Mar 17 05:34:28 +0000 2008,"serg_xyz, NTmoney, Darrenlautf, janehk, rishisthinking, 0xRainandCoffee, masonnystrom, andyisnotandy, Mikey0x_, lmrankhan, Sh_ivam, HoolieG, sjrosenblum, n4motto, caitlinxyz, alexgedevani, MariaShen, mattyryze, kapursanat",19,https://x.com/i/user/14161568
1194682917760503810,serg,Wed Nov 13 18:26:33 +0000 2019,"0xRaghav, grisacerne, NTmoney, ishanee_, janehk, rishisthinking, bridge__harris, robbiepetersen_, amanda0x, firstc0in, j0hnwang, ncerovac, sjdedic, jonathankingvc, lapgandhi, yekiM_o, n4motto, mattyryze, GrantStenger",19,https://x.com/i/user/1194682917760503810
1342923842675740672,zerokn0wledge 🪬✨,Sat Dec 26 20:02:57 +0000 2020,"0xRaghav, Darrenlautf, 0xWenMoon, ishanee_, 0xRainandCoffee, sandraaleow, andyisnotandy, Louissongyz, panekkkk, Shaughnessy119, krybharat, Sh_ivam, 0xdetweiler, Solofunk30, MariaShen, mattyryze, zacxbt, AustinBarack, GrantStenger",19,https://x.com/i/user/1342923842675740672
1004162476273893377,Figment,Wed Jun 06 00:46:05 +0000 2018,"0xRaghav, grisacerne, OmniscientAsian, Darrenlautf, 0xminion, janehk, 0xRainandCoffee, wkhosrowshahi1, andyisnotandy, BigBrainKasey, geenty, Sh_ivam, 0xMaki, Solofunk30, MariaShen, mattyryze, AustinBarack, roybitsir, kapursanat",19,https://x.com/i/user/1004162476273893377
210384083,emmacui,Sun Oct 31 09:28:40 +0000 2010,"0xRaghav, QwQiao, 0xminion, janehk, rishisthinking, YeouJie, andyisnotandy, benlakoff, pet3rpan_, bridge__harris, Shaughnessy119, sjdedic, jennyqcheng, lapgandhi, 0xMaki, 0xChanglu, n4motto, mattyryze, AustinBarack",19,https://x.com/i/user/210384083
1380880813,Evan Feng,Fri Apr 26 02:15:48 +0000 2013,"QwQiao, KyleSamani, stutireal, rishisthinking, sandraaleow, YeouJie, andyisnotandy, Shaughnessy119, amanda0x, sjdedic, jonathankingvc, jennyqcheng, Sh_ivam, HoolieG, alexgedevani, mattyryze, AustinBarack, roybitsir, kapursanat",19,https://x.com/i/user/1380880813
1458640682080509959,J.Hackworth,Thu Nov 11 03:40:21 +0000 2021,"KyleSamani, 0xminion, rishisthinking, 0xRainandCoffee, masonnystrom, eclecticcapital, Shaughnessy119, firstc0in, lmrankhan, notnotstorm, cooper_kunz, jonathankingvc, lapgandhi, samoyedali, Solofunk30, alexgedevani, GrantStenger, tomhschmidt, kapursanat",19,https://x.com/i/user/1458640682080509959
206935193,David Attermann,Sun Oct 24 03:01:23 +0000 2010,"KyleSamani, kidponga, 0xRainandCoffee, YeouJie, masonnystrom, andyisnotandy, cosmo_jiang, robbiepetersen_, Shaughnessy119, amanda0x, firstc0in, krybharat, jonathankingvc, ceterispar1bus, Solofunk30, alexgedevani, mattyryze, zacxbt, AustinBarack",19,https://x.com/i/user/206935193
1175974820858798083,seth bloomberg,Mon Sep 23 03:27:41 +0000 2019,"KyleSamani, Darrenlautf, 0xRainandCoffee, YeouJie, masonnystrom, eclecticcapital, Shaughnessy119, amanda0x, jonathankingvc, Sh_ivam, HoolieG, Solofunk30, alexgedevani, NaytheForceBwU, mattyryze, zacxbt, AustinBarack, gregohr12, tomhschmidt",19,https://x.com/i/user/1175974820858798083
8028722,YO,Tue Aug 07 15:36:56 +0000 2007,"KyleSamani, Darrenlautf, 0xminion, janehk, rishisthinking, andyisnotandy, ncerovac, sjdedic, lapgandhi, 0xMaki, ceterispar1bus, samoyedali, gakonst, MariaShen, mattyryze, zacxbt, roybitsir, GrantStenger, 0xbilly",19,https://x.com/i/user/8028722
7976822,RAC,Sun Aug 05 18:51:03 +0000 2007,"KyleSamani, Darrenlautf, 0xminion, janehk, reganbozman, masonnystrom, benlakoff, pet3rpan_, eclecticcapital, ncerovac, 0xMaki, 0xChanglu, MariaShen, mattyryze, zacxbt, roybitsir, delitzer, tomhschmidt, 0xbilly",19,https://x.com/i/user/7976822
657863,Kevin Rose,Thu Jan 18 00:43:32 +0000 2007,"KyleSamani, reganbozman, masonnystrom, andyisnotandy, benlakoff, caseykcaruso, SimaoCCruz, amanda0x, ncerovac, 0xMaki, HoolieG, alexgedevani, jnwng, MariaShen, mattyryze, zacxbt, roybitsir, gregohr12, 0xbilly",19,https://x.com/i/user/657863
238000010,St. Etiënne • TRGC,Fri Jan 14 03:50:10 +0000 2011,"grisacerne, OmniscientAsian, 0xminion, wkhosrowshahi1, YeouJie, benlakoff, BigBrainKasey, SimaoCCruz, Louissongyz, Shaughnessy119, firstc0in, sjdedic, jonathankingvc, lapgandhi, 0xMaki, alexgedevani, mattyryze, zacxbt, roybitsir",19,https://x.com/i/user/238000010
1745510685470265345,Solayer,Thu Jan 11 18:19:23 +0000 2024,"OmniscientAsian, Darrenlautf, 0xWenMoon, 0xminion, Daryllautk, sandraaleow, BigBrainKasey, firstc0in, sjdedic, jonathankingvc, jennyqcheng, Sh_ivam, 0xChanglu, Solofunk30, NaytheForceBwU, pokeapallascat, mattyryze, zacxbt, gregohr12",19,https://x.com/i/user/1745510685470265345
1307891177572782080,mephisto,Mon Sep 21 03:55:37 +0000 2020,"stutireal, 0xminion, janehk, rishisthinking, Daryllautk, sandraaleow, benlakoff, caseykcaruso, Shaughnessy119, amanda0x, CryptoSources, jonathankingvc, Sh_ivam, ceterispar1bus, samoyedali, mattyryze, AustinBarack, GrantStenger, tomhschmidt",19,https://x.com/i/user/1307891177572782080
1327336243026223104,♡ Charlotte Fang 🪲 Crown Prince ❀ LOVE HEALS 💞,Fri Nov 13 19:43:31 +0000 2020,"Darrenlautf, 0xWenMoon, kidponga, 0xRainandCoffee, pet3rpan_, firstc0in, lmrankhan, krybharat, CryptoSources, 0xMaki, samoyedali, 0xChanglu, caitlinxyz, MariaShen, mattyryze, zacxbt, GrantStenger, tomhschmidt, kapursanat",19,https://x.com/i/user/1327336243026223104
1484382786588839936,Renegade 🏴‍☠️,Fri Jan 21 04:30:30 +0000 2022,"0xWenMoon, 0xminion, wkhosrowshahi1, andyisnotandy, lmrankhan, krybharat, cooper_kunz, lapgandhi, Sh_ivam, 0xMaki, yekiM_o, ceterispar1bus, samoyedali, MariaShen, mattyryze, zacxbt, GrantStenger, tomhschmidt, kapursanat",19,https://x.com/i/user/1484382786588839936
