id,name,register_date,followed_by,followers_count
265758342,YQ,Mon Mar 14 03:09:10 +0000 2011,"0xRaghav, Darrenlautf, 0xWenMoon, 0xminion, ishanee_, reganbozman, YeouJie, bridge__harris, Louissongyz, tkstanczak, lmrankhan, j0hnwang, lapgandhi, Sh_ivam, 0xMaki, 0xChanglu, zacxbt, AustinBarack, kapursanat",19
979462167559892993,Odysseus | phylax.systems,Thu Mar 29 20:55:53 +0000 2018,"0xRaghav, KyleSamani, stutireal, 0xminion, Daryllautk, 0xRainandCoffee, wkhosrowshahi1, benlakoff, robbiepetersen_, notnotstorm, j0hnwang, _weidai, ncerovac, lapgandhi, 0xMaki, gakonst, delitzer, kapursanat, 0xbilly",19
948821285257146368,josh lee,Thu Jan 04 07:39:57 +0000 2018,"0xRaghav, KyleSamani, NTmoney, 0xminion, janehk, Daryllautk, j0hnwang, jonathankingvc, lapgandhi, Sh_ivam, 0xMaki, yekiM_o, ceterispar1bus, samoyedali, alexgedevani, MariaShen, roybitsir, delitzer, GrantStenger",19
14946614,USV,Thu May 29 18:34:07 +0000 2008,"QwQiao, KyleSamani, 0xminion, janehk, reganbozman, wkhosrowshahi1, andyisnotandy, panekkkk, AliceL991, j0hnwang, jonathankingvc, lapgandhi, HoolieG, sjrosenblum, MariaShen, zacxbt, roybitsir, GrantStenger, 0xbilly",19
3985891,Will Wolf ✌🏻 🚀,Tue Apr 10 05:06:33 +0000 2007,"QwQiao, KyleSamani, grisacerne, stutireal, Darrenlautf, 0xminion, reganbozman, andyisnotandy, panekkkk, Shaughnessy119, j0hnwang, cooper_kunz, sjdedic, lapgandhi, sjrosenblum, MariaShen, AustinBarack, roybitsir, GrantStenger, tomhschmidt",20
906870773066772480,BitMEX Research,Sun Sep 10 13:23:35 +0000 2017,"QwQiao, KyleSamani, Darrenlautf, 0xminion, janehk, Daryllautk, wkhosrowshahi1, andyisnotandy, panekkkk, Yedidbotton, geenty, lmrankhan, j0hnwang, jennyqcheng, Sh_ivam, ceterispar1bus, AustinBarack, GrantStenger, kapursanat",19
1173810743654932480,joshua,Tue Sep 17 04:07:54 +0000 2019,"QwQiao, Darrenlautf, 0xminion, janehk, Daryllautk, 0xRainandCoffee, Mikey0x_, caseykcaruso, eclecticcapital, amanda0x, j0hnwang, lapgandhi, 0xMaki, 0xChanglu, caitlinxyz, gakonst, alexgedevani, delitzer, GrantStenger",19
43670928,bartosz |🧊,Sun May 31 10:29:26 +0000 2009,"QwQiao, KyleSamani, 0xminion, andyisnotandy, BigBrainKasey, eclecticcapital, firstc0in, geenty, lmrankhan, j0hnwang, 0xMaki, HoolieG, ceterispar1bus, gakonst, Solofunk30, jnwng, zacxbt, AustinBarack, GrantStenger",19
100568224,Dennison,Wed Dec 30 18:50:22 +0000 2009,"QwQiao, KyleSamani, grisacerne, 0xminion, janehk, benlakoff, pet3rpan_, OuroborosCap8, panekkkk, lmrankhan, j0hnwang, sjdedic, 0xMaki, alexgedevani, thetinaverse, MariaShen, zacxbt, kapursanat, 0xbilly",19
722591951950913536,"Tegan.eth 🌅,🦩",Wed Apr 20 01:05:21 +0000 2016,"QwQiao, KyleSamani, Darrenlautf, 0xminion, janehk, Daryllautk, YeouJie, masonnystrom, benlakoff, panekkkk, firstc0in, lmrankhan, j0hnwang, ncerovac, sjrosenblum, alexgedevani, MariaShen, AustinBarack, roybitsir",19
2435251089,Native_0x,Tue Mar 25 09:14:51 +0000 2014,"QwQiao, KyleSamani, Darrenlautf, 0xminion, andyisnotandy, BigBrainKasey, Louissongyz, eclecticcapital, panekkkk, firstc0in, lmrankhan, j0hnwang, 0xMaki, 0xdetweiler, yekiM_o, alexgedevani, roybitsir, tomhschmidt, kapursanat",19
930223743430828032,Set Animals,Mon Nov 13 23:59:57 +0000 2017,"QwQiao, KyleSamani, luffistotle, Darrenlautf, 0xminion, kidponga, janehk, 0xRainandCoffee, panekkkk, j0hnwang, krybharat, ncerovac, 0xMaki, 0xdetweiler, yekiM_o, alexgedevani, MariaShen, zacxbt, 0xbilly",19
43088277,Freddie Farmer,Thu May 28 11:00:42 +0000 2009,"QwQiao, KyleSamani, OmniscientAsian, Darrenlautf, 0xminion, reganbozman, Daryllautk, sandraaleow, geenty, lmrankhan, j0hnwang, 0xMaki, ceterispar1bus, alexgedevani, AustinBarack, roybitsir, delitzer, tomhschmidt, kapursanat",19
540489975,nick,Fri Mar 30 00:55:00 +0000 2012,"QwQiao, KyleSamani, 0xminion, janehk, masonnystrom, benlakoff, caseykcaruso, panekkkk, AliceL991, Shaughnessy119, geenty, lmrankhan, ncerovac, lapgandhi, 0xMaki, alexgedevani, MariaShen, AustinBarack, GrantStenger",19
837854453109665796,Sid Powell 🥞,Sat Mar 04 02:37:23 +0000 2017,"QwQiao, 0xminion, kidponga, ishanee_, janehk, wkhosrowshahi1, andyisnotandy, pet3rpan_, cosmo_jiang, panekkkk, Shaughnessy119, firstc0in, j0hnwang, lapgandhi, Sh_ivam, 0xMaki, zacxbt, AustinBarack, tomhschmidt",19
1154010518790791168,High Stakes Capital,Wed Jul 24 12:48:42 +0000 2019,"QwQiao, OmniscientAsian, Darrenlautf, 0xminion, sandraaleow, YeouJie, cosmo_jiang, OuroborosCap8, geenty, krybharat, 0xdetweiler, 0xChanglu, n4motto, gakonst, alexgedevani, zacxbt, TaikiMaeda2, kapursanat, 0xbilly",19
3239337314,mubaris,Mon Jun 08 01:04:33 +0000 2015,"QwQiao, OmniscientAsian, Darrenlautf, 0xminion, janehk, Daryllautk, 0xRainandCoffee, sandraaleow, geenty, lmrankhan, j0hnwang, 0xMaki, ceterispar1bus, gakonst, alexgedevani, zacxbt, roybitsir, tomhschmidt, 0xbilly",19
1245854688915763200,Jon Kol,Thu Apr 02 23:24:59 +0000 2020,"QwQiao, KyleSamani, luffistotle, 0xWenMoon, 0xminion, janehk, Daryllautk, andyisnotandy, caseykcaruso, bridge__harris, lapgandhi, Sh_ivam, 0xMaki, alexgedevani, AustinBarack, roybitsir, delitzer, tomhschmidt, kapursanat",19
985457400596652032,Tony,Sun Apr 15 09:58:47 +0000 2018,"QwQiao, KyleSamani, Darrenlautf, 0xminion, Daryllautk, sandraaleow, cosmo_jiang, panekkkk, geenty, lmrankhan, j0hnwang, 0xMaki, ceterispar1bus, gakonst, alexgedevani, AustinBarack, tomhschmidt, kapursanat, 0xbilly",19
4805642293,Keeks 𐦂,Sun Jan 24 02:42:06 +0000 2016,"QwQiao, stutireal, Darrenlautf, 0xminion, janehk, Daryllautk, 0xRainandCoffee, eclecticcapital, OuroborosCap8, panekkkk, tkstanczak, geenty, lmrankhan, lapgandhi, 0xMaki, alexgedevani, MariaShen, delitzer, tomhschmidt",19
635682749,Suji Yan - Mask is BUIDLing,Sat Jul 14 21:54:18 +0000 2012,"QwQiao, NTmoney, 0xWenMoon, 0xminion, janehk, reganbozman, benlakoff, pet3rpan_, Louissongyz, panekkkk, lmrankhan, jennyqcheng, 0xMaki, yekiM_o, 0xChanglu, alexgedevani, MariaShen, zacxbt, tomhschmidt, kapursanat",20
