id,name,register_date,followed_by,followers_count
14628341,dima.eth,Fri May 02 17:15:27 +0000 2008,"QwQiao, KyleSamani, NTmoney, Darrenlautf, 0xminion, pet3rpan_, panekkkk, lmrankhan, j0hnwang, krybharat, ncerovac, jonathankingvc, 0xMaki, alexgedevani, mattyryze, zacxbt, AustinBarack, tomhschmidt, 0xbilly",19
938987291199942657,Nathan Allman 🌊,Fri Dec 08 04:23:10 +0000 2017,"QwQiao, KyleSamani, stutireal, Darrenlautf, janehk, sandraaleow, wkhosrowshahi1, pet3rpan_, bridge__harris, Shaughnessy119, geenty, notnotstorm, j0hnwang, lapgandhi, Sh_ivam, Solofunk30, jnwng, mattyryze, tomhschmidt",19
1293904122605760513,BoringCrypto,Thu Aug 13 13:36:29 +0000 2020,"QwQiao, OmniscientAsian, Darrenlautf, 0xWenMoon, 0xminion, ishanee_, geenty, j0hnwang, krybharat, ncerovac, 0xMaki, ceterispar1bus, n4motto, alexgedevani, mattyryze, AustinBarack, roybitsir, kapursanat, 0xbilly",19
1126067837569617921,Casino Royale,Wed May 08 10:14:28 +0000 2019,"QwQiao, KyleSamani, Darrenlautf, 0xminion, janehk, reganbozman, Daryllautk, YeouJie, OuroborosCap8, panekkkk, lmrankhan, j0hnwang, ncerovac, 0xMaki, alexgedevani, MariaShen, mattyryze, zacxbt, roybitsir, 0xbilly",20
18509311,gavin,Wed Dec 31 16:15:04 +0000 2008,"QwQiao, KyleSamani, OmniscientAsian, Darrenlautf, 0xminion, janehk, Daryllautk, wkhosrowshahi1, panekkkk, geenty, lmrankhan, 0xMaki, gakonst, alexgedevani, MariaShen, mattyryze, roybitsir, delitzer, tomhschmidt",19
837854453109665796,Sid Powell 🥞,Sat Mar 04 02:37:23 +0000 2017,"QwQiao, 0xminion, kidponga, janehk, wkhosrowshahi1, andyisnotandy, pet3rpan_, cosmo_jiang, panekkkk, Shaughnessy119, firstc0in, j0hnwang, lapgandhi, Sh_ivam, 0xMaki, mattyryze, zacxbt, AustinBarack, tomhschmidt",19
1154010518790791168,High Stakes Capital,Wed Jul 24 12:48:42 +0000 2019,"QwQiao, OmniscientAsian, Darrenlautf, 0xminion, sandraaleow, YeouJie, cosmo_jiang, OuroborosCap8, geenty, krybharat, 0xdetweiler, 0xChanglu, n4motto, gakonst, alexgedevani, mattyryze, zacxbt, TaikiMaeda2, kapursanat, 0xbilly",20
5686612,Maya Zehavi,Tue May 01 14:28:01 +0000 2007,"QwQiao, KyleSamani, janehk, andyisnotandy, OuroborosCap8, panekkkk, Shaughnessy119, lmrankhan, notnotstorm, j0hnwang, cooper_kunz, ceterispar1bus, gakonst, alexgedevani, MariaShen, mattyryze, roybitsir, tomhschmidt, kapursanat",19
27868000,David Nage🎯,Tue Mar 31 13:24:50 +0000 2009,"QwQiao, KyleSamani, Darrenlautf, janehk, andyisnotandy, benlakoff, SimaoCCruz, panekkkk, robbiepetersen_, Shaughnessy119, lmrankhan, j0hnwang, 0xMaki, alexgedevani, MariaShen, mattyryze, AustinBarack, delitzer, tomhschmidt",19
1438753098,Spenser Huang,Sat May 18 16:09:35 +0000 2013,"QwQiao, KyleSamani, reganbozman, Daryllautk, YeouJie, Mikey0x_, pet3rpan_, caseykcaruso, lmrankhan, j0hnwang, ncerovac, jonathankingvc, lapgandhi, yekiM_o, ceterispar1bus, samoyedali, mattyryze, GrantStenger, tomhschmidt",19
1833946076,neil,Sun Sep 08 20:09:56 +0000 2013,"KyleSamani, OmniscientAsian, Darrenlautf, 0xminion, ishanee_, janehk, rishisthinking, YeouJie, BigBrainKasey, Yedidbotton, j0hnwang, CryptoSources, jennyqcheng, lapgandhi, sjrosenblum, ceterispar1bus, n4motto, alexgedevani, tomhschmidt",19
