id,name,register_date,followed_by,followers_count
1484007824015384577,Matty ⚔️,Thu Jan 20 03:41:16 +0000 2022,"serg_xyz, KyleSamani, Darrenlautf, kidponga, janehk, andyisnotandy, benlakoff, Mikey0x_, Shaughnessy119, sjdedic, lapgandhi, Sh_ivam, 0xMaki, samoyedali, alexgedevani, pokeapallascat, thetinaverse, zacxbt, GrantStenger, kapursanat",20
278988015,Alvin Hsia,Fri Apr 08 11:04:40 +0000 2011,"serg_xyz, KyleSamani, 0xminion, janehk, andyisnotandy, benlakoff, notnotstorm, j0hnwang, 0xMaki, HoolieG, RyanKSterling, sjrosenblum, yekiM_o, 0xChanglu, n4motto, caitlinxyz, gakonst, GrantStenger, kapursanat",19
259780392,Andy,Wed Mar 02 15:48:04 +0000 2011,"serg_xyz, 0xRaghav, 0xWenMoon, kidponga, Daryllautk, sandraaleow, YeouJie, andyisnotandy, robbiepetersen_, j0hnwang, sjdedic, jennyqcheng, 0xMaki, samoyedali, mattyryze, zacxbt, AustinBarack, roybitsir, TaikiMaeda2",19
2183000371,Avi,Fri Nov 08 21:13:12 +0000 2013,"serg_xyz, NTmoney, OmniscientAsian, sandraaleow, pet3rpan_, caseykcaruso, Shaughnessy119, lmrankhan, j0hnwang, cooper_kunz, lapgandhi, 0xMaki, yekiM_o, samoyedali, alexgedevani, mattyryze, GrantStenger, tomhschmidt, kapursanat",19
465067650,Brandon Potts,Sun Jan 15 22:52:09 +0000 2012,"serg_xyz, grisacerne, stutireal, Darrenlautf, 0xminion, janehk, pet3rpan_, amanda0x, j0hnwang, sjdedic, jennyqcheng, Sh_ivam, 0xMaki, NaytheForceBwU, MariaShen, mattyryze, AustinBarack, roybitsir, delitzer, kapursanat",20
1395628622417825795,Dariya Kho,Fri May 21 06:32:56 +0000 2021,"serg_xyz, 0xminion, janehk, reganbozman, benlakoff, pet3rpan_, bridge__harris, j0hnwang, jonathankingvc, lapgandhi, Sh_ivam, 0xMaki, sjrosenblum, yekiM_o, n4motto, alexgedevani, MariaShen, roybitsir, GrantStenger",19
299075997,Scott Kominers,Sun May 15 13:25:56 +0000 2011,"serg_xyz, KyleSamani, Darrenlautf, 0xminion, janehk, wkhosrowshahi1, eclecticcapital, robbiepetersen_, amanda0x, j0hnwang, krybharat, lapgandhi, 0xMaki, gakonst, MariaShen, mattyryze, GrantStenger, kapursanat, 0xbilly",19
1353836358901501952,Anthropic,Mon Jan 25 22:45:28 +0000 2021,"0xRaghav, 0xminion, YeouJie, caseykcaruso, panekkkk, Shaughnessy119, tkstanczak, amanda0x, j0hnwang, op7418, krybharat, jonathankingvc, lapgandhi, Sh_ivam, ceterispar1bus, mattyryze, zacxbt, GrantStenger, 0xbilly",19
1620132709824602112,delta,Mon Jan 30 18:52:08 +0000 2023,"0xRaghav, 0xminion, janehk, reganbozman, 0xRainandCoffee, wkhosrowshahi1, Shaughnessy119, _weidai, cooper_kunz, lapgandhi, Sh_ivam, 0xMaki, 0xdetweiler, yekiM_o, ceterispar1bus, samoyedali, Solofunk30, zacxbt, roybitsir",19
1342923842675740672,zerokn0wledge 🪬✨,Sat Dec 26 20:02:57 +0000 2020,"0xRaghav, Darrenlautf, 0xWenMoon, ishanee_, 0xRainandCoffee, sandraaleow, andyisnotandy, Louissongyz, panekkkk, Shaughnessy119, krybharat, Sh_ivam, 0xdetweiler, Solofunk30, MariaShen, mattyryze, zacxbt, AustinBarack, GrantStenger",19
3430235213,Alex Pruden,Tue Aug 18 17:50:37 +0000 2015,"0xRaghav, KyleSamani, grisacerne, janehk, masonnystrom, andyisnotandy, panekkkk, j0hnwang, _weidai, cooper_kunz, jonathankingvc, lapgandhi, HoolieG, sjrosenblum, mattyryze, zacxbt, AustinBarack, delitzer, GrantStenger",19
50722668,Rand Hindi,Thu Jun 25 18:20:32 +0000 2009,"0xRaghav, KyleSamani, stutireal, ishanee_, janehk, rishisthinking, wkhosrowshahi1, andyisnotandy, Louissongyz, amanda0x, _weidai, jonathankingvc, lapgandhi, Sh_ivam, 0xMaki, samoyedali, zacxbt, delitzer, GrantStenger",19
1103585776619741184,Zama,Thu Mar 07 09:18:47 +0000 2019,"0xRaghav, KyleSamani, 0xminion, kidponga, rishisthinking, andyisnotandy, tkstanczak, j0hnwang, _weidai, ncerovac, jonathankingvc, lapgandhi, Sh_ivam, 0xMaki, yekiM_o, ceterispar1bus, samoyedali, mattyryze, GrantStenger",19
394549103,Naruto11.eth,Thu Oct 20 07:48:43 +0000 2011,"0xRaghav, KyleSamani, 0xWenMoon, rishisthinking, sandraaleow, bridge__harris, notnotstorm, j0hnwang, ncerovac, sjdedic, lapgandhi, 0xMaki, samoyedali, gakonst, Solofunk30, pokeapallascat, MariaShen, mattyryze, GrantStenger",19
837884551984730113,David Ticzon | Sui💧Chief Degen,Sat Mar 04 04:36:59 +0000 2017,"QwQiao, KyleSamani, stutireal, Darrenlautf, 0xminion, janehk, reganbozman, wkhosrowshahi1, BigBrainKasey, caseykcaruso, bridge__harris, j0hnwang, Sh_ivam, 0xMaki, mattyryze, zacxbt, AustinBarack, GrantStenger, kapursanat",19
1173810743654932480,Joshua,Tue Sep 17 04:07:54 +0000 2019,"QwQiao, Darrenlautf, 0xminion, janehk, Daryllautk, 0xRainandCoffee, Mikey0x_, caseykcaruso, eclecticcapital, amanda0x, j0hnwang, lapgandhi, 0xMaki, 0xChanglu, caitlinxyz, gakonst, alexgedevani, delitzer, GrantStenger",19
827547912984989696,Remi ☁️,Fri Feb 03 16:02:52 +0000 2017,"QwQiao, KyleSamani, 0xminion, janehk, rishisthinking, Mikey0x_, pet3rpan_, Louissongyz, panekkkk, firstc0in, lmrankhan, j0hnwang, _weidai, ncerovac, sjdedic, jonathankingvc, lapgandhi, 0xMaki, yekiM_o, roybitsir",20
914183227723657216,Andrew Kirillov 🎱_🎱,Sat Sep 30 17:40:40 +0000 2017,"KyleSamani, Darrenlautf, 0xminion, caseykcaruso, Louissongyz, notnotstorm, j0hnwang, _weidai, lapgandhi, 0xMaki, sjrosenblum, caitlinxyz, gakonst, mattyryze, roybitsir, TaikiMaeda2, GrantStenger, tomhschmidt, kapursanat",19
1427220791951822848,devloper,Mon Aug 16 10:48:53 +0000 2021,"KyleSamani, grisacerne, OmniscientAsian, Darrenlautf, 0xminion, janehk, rishisthinking, Daryllautk, 0xRainandCoffee, bridge__harris, Louissongyz, _weidai, lapgandhi, yekiM_o, samoyedali, caitlinxyz, roybitsir, delitzer, GrantStenger",19
1238540802302906371,jules,Fri Mar 13 19:02:14 +0000 2020,"KyleSamani, Darrenlautf, janehk, Daryllautk, masonnystrom, andyisnotandy, benlakoff, caseykcaruso, j0hnwang, 0xMaki, sjrosenblum, caitlinxyz, MariaShen, mattyryze, AustinBarack, delitzer, GrantStenger, tomhschmidt, kapursanat",19
1391254762499153922,Bullet,Sun May 09 04:57:23 +0000 2021,"KyleSamani, Darrenlautf, 0xminion, kidponga, janehk, robbiepetersen_, j0hnwang, Sh_ivam, 0xMaki, 0xdetweiler, ceterispar1bus, 0xChanglu, n4motto, NaytheForceBwU, thetinaverse, MariaShen, mattyryze, AustinBarack, GrantStenger",19
